2026-07-03 16:26:38 | INFO     | trading_bot | --> GET /fapi/v1/exchangeInfo params={} signed=False
2026-07-03 16:26:38 | INFO     | trading_bot | <-- GET /fapi/v1/exchangeInfo HTTP 200 OK
2026-07-03 16:26:38 | INFO     | trading_bot | --> GET /fapi/v1/ticker/price params={'symbol': 'BTCUSDT'} signed=False
2026-07-03 16:26:39 | INFO     | trading_bot | <-- GET /fapi/v1/ticker/price HTTP 200 OK
2026-07-03 16:26:39 | INFO     | trading_bot | TWAP slice 1/3: BUY 0.0020 BTCUSDT
2026-07-03 16:26:39 | INFO     | trading_bot | --> GET /fapi/v1/ticker/price params={'symbol': 'BTCUSDT'} signed=False
2026-07-03 16:26:39 | INFO     | trading_bot | <-- GET /fapi/v1/ticker/price HTTP 200 OK
2026-07-03 16:26:39 | INFO     | trading_bot | Placing order: symbol=BTCUSDT, side=BUY, type=MARKET, quantity=0.0020
2026-07-03 16:26:39 | INFO     | trading_bot | --> POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.0020', 'timestamp': 1783076199324, 'recvWindow': 5000} signed=True
2026-07-03 16:26:39 | INFO     | trading_bot | <-- POST /fapi/v1/order HTTP 200 OK
2026-07-03 16:26:39 | INFO     | trading_bot | --> GET /fapi/v1/order params={'symbol': 'BTCUSDT', 'orderId': 18700550615, 'timestamp': 1783076199533, 'recvWindow': 5000} signed=True
2026-07-03 16:26:39 | INFO     | trading_bot | <-- GET /fapi/v1/order HTTP 200 OK
2026-07-03 16:26:39 | INFO     | trading_bot | Order settled: id=18700550615 status=FILLED executedQty=0.0020 avgPrice=61929.100000
2026-07-03 16:26:40 | INFO     | trading_bot | TWAP slice 2/3: BUY 0.0020 BTCUSDT
2026-07-03 16:26:40 | INFO     | trading_bot | --> GET /fapi/v1/ticker/price params={'symbol': 'BTCUSDT'} signed=False
2026-07-03 16:26:40 | INFO     | trading_bot | <-- GET /fapi/v1/ticker/price HTTP 200 OK
2026-07-03 16:26:40 | INFO     | trading_bot | Placing order: symbol=BTCUSDT, side=BUY, type=MARKET, quantity=0.0020
2026-07-03 16:26:40 | INFO     | trading_bot | --> POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.0020', 'timestamp': 1783076200987, 'recvWindow': 5000} signed=True
2026-07-03 16:26:41 | INFO     | trading_bot | <-- POST /fapi/v1/order HTTP 200 OK
2026-07-03 16:26:41 | INFO     | trading_bot | --> GET /fapi/v1/order params={'symbol': 'BTCUSDT', 'orderId': 18700556848, 'timestamp': 1783076201196, 'recvWindow': 5000} signed=True
2026-07-03 16:26:41 | INFO     | trading_bot | <-- GET /fapi/v1/order HTTP 200 OK
2026-07-03 16:26:41 | INFO     | trading_bot | Order settled: id=18700556848 status=FILLED executedQty=0.0020 avgPrice=61946.600000
2026-07-03 16:26:42 | INFO     | trading_bot | TWAP slice 3/3: BUY 0.0020 BTCUSDT
2026-07-03 16:26:42 | INFO     | trading_bot | --> GET /fapi/v1/ticker/price params={'symbol': 'BTCUSDT'} signed=False
2026-07-03 16:26:42 | INFO     | trading_bot | <-- GET /fapi/v1/ticker/price HTTP 200 OK
2026-07-03 16:26:42 | INFO     | trading_bot | Placing order: symbol=BTCUSDT, side=BUY, type=MARKET, quantity=0.0020
2026-07-03 16:26:42 | INFO     | trading_bot | --> POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.0020', 'timestamp': 1783076202606, 'recvWindow': 5000} signed=True
2026-07-03 16:26:42 | INFO     | trading_bot | <-- POST /fapi/v1/order HTTP 200 OK
2026-07-03 16:26:42 | INFO     | trading_bot | --> GET /fapi/v1/order params={'symbol': 'BTCUSDT', 'orderId': 18700563424, 'timestamp': 1783076202820, 'recvWindow': 5000} signed=True
2026-07-03 16:26:43 | INFO     | trading_bot | <-- GET /fapi/v1/order HTTP 200 OK
2026-07-03 16:26:43 | INFO     | trading_bot | Order settled: id=18700563424 status=FILLED executedQty=0.0020 avgPrice=61946.600000
